txn_id,sender_id,receiver_id,sender_name,receiver_name,amount,timestamp,txn_type,account_ref
TXN-0026,P-0010,P-0031,Suresh Patil,Amani Basu,13002,2025-02-09T20:53:45,cash_deposit,ACC-9674
TXN-0027,P-0026,P-0028,Kartik Chokshi,Ryan Mane,2358,2025-01-14T06:46:25,bank_transfer,ACC-9482
TXN-0028,P-0027,P-0040,Anvi Kannan,Tushar Sampath,12034,2025-08-17T07:48:44,upi,ACC-5678
TXN-0029,P-0034,P-0015,Nitara Sule,Nayantara Kumar,7906,2025-03-30T16:12:21,cash_deposit,ACC-6236
TXN-0030,P-0025,P-0005,Prisha Khanna,D. Verma,5414,2025-03-22T23:13:04,cash_deposit,ACC-6922
TXN-0031,P-0035,P-0017,Miraan Raval,Anahita Kant,2775,2025-05-02T17:59:12,cash_deposit,ACC-6912
TXN-0032,P-0040,P-0026,Tushar Sampath,Kartik Chokshi,2626,2025-11-10T03:08:20,cash_deposit,ACC-6067
TXN-0033,P-0028,P-0033,Ryan Mane,Vedika Kulkarni,13989,2025-10-22T02:41:06,cash_deposit,ACC-6194
TXN-0034,P-0005,P-0031,Deepak Verma,Amani Basu,2602,2025-10-10T23:17:39,upi,ACC-3981
TXN-0035,P-0009,P-0030,Divij Shetty,Divij Contractor,14121,2025-03-05T18:51:48,cash_deposit,ACC-5982
TXN-0036,P-0011,P-0023,Oorja Sehgal,Yashvi Mandal,9001,2025-05-26T02:52:16,bank_transfer,ACC-4216
TXN-0037,P-0040,P-0020,Tushar Sampath,Amit Sharma,9240,2025-02-17T18:17:53,upi,ACC-3762
TXN-0038,P-0010,P-0011,Suresh Patil,Oorja Sehgal,10414,2025-06-22T20:31:14,cash_deposit,ACC-1464
TXN-0039,P-0006,P-0003,Ayesha Andra,Amani Ravi,4836,2025-11-30T07:40:31,upi,ACC-7825
TXN-0040,P-0002,P-0034,Indrans Chokshi,Nitara Sule,11017,2025-06-04T17:35:00,cash_deposit,ACC-7653
TXN-0041,P-0022,P-0032,Akarsh Rastogi,Ishita Amble,7702,2025-08-01T17:37:51,bank_transfer,ACC-4342
TXN-0042,P-0024,P-0010,Ranbir Wadhwa,Suresh Patil,12529,2025-06-26T14:31:00,cash_deposit,ACC-7070
TXN-0043,P-0035,P-0040,Miraan Raval,Tushar Sampath,2507,2025-05-17T16:22:09,cash_deposit,ACC-3308
TXN-0044,P-0007,P-0004,Nishith Chowdhury,Lakshit Sagar,10582,2025-08-03T09:02:21,cash_deposit,ACC-6364
TXN-0045,P-0023,P-0015,Yashvi Mandal,Nayantara Kumar,8933,2025-08-28T18:09:33,bank_transfer,ACC-9148
TXN-0046,P-0002,P-0006,Indrans Chokshi,Ayesha Andra,4444,2025-04-21T21:14:20,bank_transfer,ACC-1797
TXN-0047,P-0004,P-0021,Lakshit Sagar,Dharmajan Rout,11219,2025-12-11T17:08:00,bank_transfer,ACC-9793
TXN-0048,P-0001,P-0007,Rajesh Kumar,Nishith Chowdhury,12419,2025-07-07T14:40:55,bank_transfer,ACC-1741
TXN-0049,P-0028,P-0004,Ryan Mane,Lakshit Sagar,9564,2025-05-28T02:40:37,bank_transfer,ACC-9261
TXN-0050,P-0031,P-0040,Amani Basu,Tushar Sampath,11647,2025-11-09T04:19:32,cash_deposit,ACC-2584
TXN-0051,P-0028,P-0026,Ryan Mane,Kartik Chokshi,6490,2025-03-15T07:14:50,upi,ACC-9341
TXN-0052,P-0028,P-0035,Ryan Mane,Miraan Raval,12191,2025-06-20T17:14:54,upi,ACC-8487
TXN-0053,P-0010,P-0035,S. Patil,Miraan Raval,5718,2025-03-25T14:18:25,upi,ACC-5902
TXN-0054,P-0024,P-0035,Ranbir Wadhwa,Miraan Raval,12111,2025-10-16T10:54:54,bank_transfer,ACC-1272
TXN-0055,P-0026,P-0024,Kartik Chokshi,Ranbir Wadhwa,10063,2025-06-07T22:54:38,cash_deposit,ACC-8775
TXN-0056,P-0019,P-0017,Navya Devi,Anahita Kant,3293,2025-09-26T22:54:07,upi,ACC-7229
TXN-0057,P-0010,P-0018,S. Patil,Nirvaan Borah,2300,2025-04-08T00:41:22,bank_transfer,ACC-6139
TXN-0058,P-0029,P-0010,Aarna Bhandari,S. Patil,8721,2025-11-10T17:10:14,upi,ACC-2020
TXN-0059,P-0009,P-0036,Divij Shetty,Miraya Sanghvi,11349,2025-09-02T19:07:55,bank_transfer,ACC-6140
