record_id,caller_id,callee_id,caller_phone,callee_phone,caller_name,callee_name,timestamp,duration_seconds,cell_tower_location
CDR-0088,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-03-21T02:43:27,490,Tower-17-Pune
CDR-0089,P-0012,P-0002,4124118244,1161559407,Nitya Taneja,Indrans Chokshi,2025-10-01T13:50:08,334,Tower-41-Nagpur
CDR-0090,P-0031,P-0005,4516808760,4801845146,Amani Basu,Deepak Verma,2025-05-01T22:58:47,304,Tower-15-Nagpur
CDR-0091,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-03-27T10:54:11,39,Tower-3-Pune
CDR-0092,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-03-16T08:53:27,553,Tower-27-Nagpur
CDR-0093,P-0010,P-0003,7882081219,2553419283,S. Patil,Amani Ravi,2025-07-15T22:33:46,256,Tower-32-Nagpur
CDR-0094,P-0004,P-0008,6724238849,6566701065,Lakshit Sagar,Divit Bava,2025-01-05T16:56:21,304,Tower-44-Nagpur
CDR-0095,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-08-06T09:06:20,477,Tower-20-Mumbai
CDR-0096,P-0031,P-0019,4516808760,7347143455,Amani Basu,Navya Devi,2025-10-22T10:46:20,312,Tower-2-Nagpur
CDR-0097,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-01-26T22:04:42,518,Tower-19-Mumbai
CDR-0098,P-0011,P-0004,3462475107,6724238849,Oorja Sehgal,Lakshit Sagar,2025-12-14T04:58:47,109,Tower-41-Nagpur
CDR-0099,P-0004,P-0006,6724238849,5430391171,Lakshit Sagar,Ayesha Andra,2025-02-16T10:44:40,344,Tower-48-Pune
CDR-0100,P-0002,P-0008,1161559407,6566701065,Indrans Chokshi,Divit Bava,2025-09-14T09:55:20,178,Tower-17-Pune
CDR-0101,P-0025,P-0001,7701436349,3321819600,Prisha Khanna,Rajesh Kumar,2025-08-28T02:44:29,154,Tower-49-Mumbai
CDR-0102,P-0037,P-0028,4406409097,0913341232,Kaira Gola,Ryan Mane,2025-07-07T03:17:16,414,Tower-1-Pune
CDR-0103,P-0012,P-0006,4124118244,5430391171,Nitya Taneja,Ayesha Andra,2025-10-27T13:52:21,390,Tower-7-Nagpur
CDR-0104,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-11-09T08:03:35,74,Tower-41-Pune
CDR-0105,P-0025,P-0036,7701436349,7923747407,Prisha Khanna,Miraya Sanghvi,2025-01-20T11:04:53,514,Tower-8-Mumbai
CDR-0106,P-0005,P-0006,4801845146,5430391171,Deepak Verma,Ayesha Andra,2025-12-23T19:40:04,439,Tower-38-Nagpur
CDR-0107,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-09-08T22:24:54,427,Tower-18-Mumbai
CDR-0108,P-0010,P-0008,7882081219,6566701065,Suresh Patil,Divit Bava,2025-07-05T03:37:02,386,Tower-35-Nagpur
CDR-0109,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-08-21T03:20:15,227,Tower-42-Nagpur
CDR-0110,P-0009,P-0001,2677360260,3321819600,Divij Shetty,R. Kumar,2025-03-06T20:33:20,220,Tower-5-Nagpur
CDR-0111,P-0002,P-0006,1161559407,5430391171,Indrans Chokshi,Ayesha Andra,2025-11-02T00:06:11,293,Tower-10-Mumbai
CDR-0112,P-0010,P-0002,7882081219,1161559407,Suresh Patil,Indrans Chokshi,2025-01-08T13:02:35,253,Tower-38-Pune
CDR-0113,P-0003,P-0006,2553419283,5430391171,Amani Ravi,Ayesha Andra,2025-02-28T02:18:50,497,Tower-29-Pune
CDR-0114,P-0009,P-0008,2677360260,6566701065,Divij Shetty,Divit Bava,2025-01-23T23:59:23,543,Tower-20-Pune
CDR-0115,P-0009,P-0001,2677360260,3321819600,Divij Shetty,Rajesh Kumar,2025-08-07T03:55:50,512,Tower-46-Pune
CDR-0116,P-0001,P-0007,3321819600,5098393010,Rajesh Kumar,Nishith Chowdhury,2025-05-21T22:43:50,571,Tower-46-Pune
CDR-0117,P-0005,P-0008,4801845146,6566701065,D. Verma,Divit Bava,2025-08-09T03:36:39,127,Tower-42-Nagpur
CDR-0118,P-0033,P-0001,0449972787,3321819600,Vedika Kulkarni,Rajesh Kumar,2025-04-27T15:03:59,357,Tower-30-Pune
CDR-0119,P-0009,P-0006,2677360260,5430391171,Divij Shetty,Ayesha Andra,2025-07-11T05:33:26,495,Tower-5-Mumbai
CDR-0120,P-0018,P-0029,0163287083,3242102499,Nirvaan Borah,Aarna Bhandari,2025-03-08T20:15:24,71,Tower-38-Nagpur
CDR-0121,P-0009,P-0007,2677360260,5098393010,Divij Shetty,Nishith Chowdhury,2025-08-05T01:52:23,304,Tower-39-Pune
CDR-0122,P-0005,P-0008,4801845146,6566701065,D. Verma,Divit Bava,2025-04-25T03:56:24,368,Tower-36-Pune
CDR-0123,P-0003,P-0008,2553419283,6566701065,Amani Ravi,Divit Bava,2025-10-15T22:38:10,580,Tower-2-Nagpur
CDR-0124,P-0040,P-0024,8692617964,3799650752,Tushar Sampath,Ranbir Wadhwa,2025-06-08T12:22:21,369,Tower-1-Mumbai
CDR-0125,P-0034,P-0037,2702895171,4406409097,Nitara Sule,Kaira Gola,2025-11-21T01:06:58,103,Tower-48-Nagpur
CDR-0126,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-06-16T20:39:55,96,Tower-4-Mumbai
CDR-0127,P-0005,P-0006,4801845146,5430391171,Deepak Verma,Ayesha Andra,2025-12-05T15:26:16,507,Tower-39-Pune
CDR-0128,P-0010,P-0002,7882081219,1161559407,Suresh Patil,Indrans Chokshi,2025-12-14T21:35:43,508,Tower-34-Nagpur
CDR-0129,P-0002,P-0007,1161559407,5098393010,Indrans Chokshi,Nishith Chowdhury,2025-04-15T10:58:27,226,Tower-50-Mumbai
CDR-0130,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-09-12T15:40:46,189,Tower-9-Pune
CDR-0131,P-0010,P-0006,7882081219,5430391171,S. Patil,Ayesha Andra,2025-01-22T15:52:56,29,Tower-30-Mumbai
CDR-0132,P-0034,P-0029,2702895171,3242102499,Nitara Sule,Aarna Bhandari,2025-08-02T10:32:27,127,Tower-26-Mumbai
CDR-0133,P-0021,P-0003,2720465375,2553419283,Dharmajan Rout,Amani Ravi,2025-12-20T13:10:28,100,Tower-28-Mumbai
CDR-0134,P-0005,P-0007,4801845146,5098393010,Deepak Verma,Nishith Chowdhury,2025-06-08T12:21:40,236,Tower-22-Mumbai
CDR-0135,P-0001,P-0008,3321819600,6566701065,Rajesh Kumar,Divit Bava,2025-06-28T12:46:59,161,Tower-16-Mumbai
CDR-0136,P-0002,P-0006,1161559407,5430391171,Indrans Chokshi,Ayesha Andra,2025-12-02T02:44:36,191,Tower-50-Nagpur
CDR-0137,P-0015,P-0008,8501429401,6566701065,Nayantara Kumar,Divit Bava,2025-11-26T23:07:49,340,Tower-41-Pune
CDR-0138,P-0001,P-0007,3321819600,5098393010,Rajesh Kumar,Nishith Chowdhury,2025-05-21T21:31:58,67,Tower-23-Nagpur
CDR-0139,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-05-27T02:47:37,102,Tower-40-Nagpur
CDR-0140,P-0012,P-0001,4124118244,3321819600,Nitya Taneja,Rajesh Kumar,2025-11-30T06:51:12,339,Tower-39-Pune
CDR-0141,P-0009,P-0008,2677360260,6566701065,Divij Shetty,Divit Bava,2025-06-25T03:04:13,526,Tower-42-Mumbai
CDR-0142,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-07-06T13:34:30,299,Tower-25-Pune
CDR-0143,P-0038,P-0039,6232858842,4965137098,Ritvik Gade,Amani Gour,2025-11-20T23:34:03,352,Tower-5-Pune
CDR-0144,P-0004,P-0007,6724238849,5098393010,Lakshit Sagar,Nishith Chowdhury,2025-11-05T05:28:29,351,Tower-6-Nagpur
CDR-0145,P-0011,P-0005,3462475107,4801845146,Oorja Sehgal,Deepak Verma,2025-07-20T04:41:41,96,Tower-20-Nagpur
CDR-0146,P-0003,P-0006,2553419283,5430391171,Amani Ravi,Ayesha Andra,2025-12-17T19:09:55,105,Tower-42-Nagpur
CDR-0147,P-0011,P-0001,3462475107,3321819600,Oorja Sehgal,R. Kumar,2025-04-20T12:26:31,507,Tower-13-Mumbai
CDR-0148,P-0020,P-0018,0967054668,0163287083,Amit K. Sharma,Nirvaan Borah,2025-09-17T19:39:08,549,Tower-3-Nagpur
CDR-0149,P-0005,P-0006,4801845146,5430391171,Deepak Verma,Ayesha Andra,2025-04-03T22:44:45,179,Tower-47-Pune
